3_1	2	{1,1,1}
4_1	3	{1,-2,1,-2}
5_1	2	{1,1,1,1,1}
5_2	3	{1,1,1,2,-1,2}
6_1	4	{1,1,2,-1,-3,2,-3}
6_2	3	{1,1,1,-2,1,-2}
6_3	3	{1,1,-2,1,-2,-2}
7_1	2	{1,1,1,1,1,1,1}
7_2	4	{1,1,1,2,-1,2,3,-2,3}
7_3	3	{1,1,1,1,1,2,-1,2}
7_4	4	{1,1,2,-1,2,2,3,-2,3}
7_5	3	{1,1,1,1,2,-1,2,2}
7_6	4	{1,1,-2,1,3,-2,3}
7_7	4	{-1,2,-1,2,-3,2,-3}
8_1	5	{1,1,2,-1,2,3,-2,-4,3,-4}
8_2	3	{1,1,1,1,1,-2,1,-2}
8_3	5	{1,1,2,-1,-3,2,-3,-4,3,-4}
8_4	4	{-1,-1,-1,2,-1,2,3,-2,3}
8_5	3	{1,1,1,-2,1,1,1,-2}
8_6	4	{1,1,1,1,2,-1,-3,2,-3}
8_7	3	{-1,-1,-1,-1,2,-1,2,2}
8_8	4	{-1,-1,-1,-2,1,3,-2,3,3}
8_9	3	{1,1,1,-2,1,-2,-2,-2}
8_10	3	{-1,-1,-1,2,-1,-1,2,2}
8_11	4	{1,1,2,-1,2,2,-3,2,-3}
8_12	5	{1,-2,1,3,-2,-4,3,-4}
8_13	4	{1,1,-2,1,-2,-2,-3,2,-3}
8_14	4	{1,1,1,2,-1,2,-3,2,-3}
8_15	4	{1,1,-2,1,3,2,2,2,3}
8_16	3	{-1,-1,2,-1,-1,2,-1,2}
8_17	3	{1,1,-2,1,-2,1,-2,-2}
8_18	3	{1,-2,1,-2,1,-2,1,-2}
8_19	3	{1,1,1,2,1,1,1,2}
8_20	3	{1,1,1,-2,-1,-1,-1,-2}
8_21	3	{1,1,1,2,-1,-1,2,2}
9_1	2	{1,1,1,1,1,1,1,1,1}
9_2	5	{1,1,1,2,-1,2,3,-2,3,4,-3,4}
9_3	3	{1,1,1,1,1,1,1,2,-1,2}
9_4	4	{1,1,1,1,1,2,-1,2,3,-2,3}
9_5	5	{1,1,2,-1,2,2,3,-2,3,4,-3,4}
9_6	3	{1,1,1,1,1,1,2,-1,2,2}
9_7	4	{1,1,1,1,2,-1,2,3,-2,3,3}
9_8	5	{1,1,-2,1,-2,-3,2,4,-3,4}
9_9	3	{1,1,1,1,1,2,-1,2,2,2}
9_10	4	{1,1,2,-1,2,2,2,2,3,-2,3}
9_11	4	{-1,-1,-1,-1,2,-1,-3,2,-3}
9_12	5	{1,1,-2,1,3,-2,3,4,-3,4}
9_13	4	{1,1,1,1,2,-1,2,2,3,-2,3}
9_14	5	{-1,-1,-2,1,3,-2,3,-4,3,-4}
9_15	5	{-1,-1,-1,-2,1,3,-2,-4,3,-4}
